Crowd size,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,-0.08,-0.06,-0.05,-0.18,-0.22,-0.03,0,0.01,-0.04,0.03,-0.02,0,-0.08,0.01,0,0,0.03
-0.08,1,0.46,0.78,0.34,0.07,0.4,-0.17,-0.18,0,0.03,0.13,0.12,0.63,0.08,0.08,-0.14,0.06
-0.06,0.46,1,-0.2,0.12,0.3,-0.13,-0.2,-0.19,-0.04,0.52,0.16,0.42,0.22,0.12,0.05,-0.29,0.07
-0.05,0.78,-0.2,1,0.29,-0.13,0.54,-0.05,-0.06,0.03,-0.32,0.03,-0.16,0.54,0.01,0.05,0.05,0.02
-0.18,0.34,0.12,0.29,1,0.72,0.69,-0.1,-0.13,0.05,-0.1,0.08,0.01,0.43,-0.03,0.01,-0.02,0.03
-0.22,0.07,0.3,-0.13,0.72,1,0.03,-0.08,-0.09,0.02,0.05,0.1,0.11,0.22,0,0.01,-0.04,0.04
-0.03,0.4,-0.13,0.54,0.69,0.03,1,-0.06,-0.08,0.05,-0.19,0.02,-0.09,0.39,-0.04,0.01,0.02,0.01
0,-0.17,-0.2,-0.05,-0.1,-0.08,-0.06,1,0.93,0.34,0.05,0.05,0.06,-0.15,0.04,0.01,0.03,0.23
0.01,-0.18,-0.19,-0.06,-0.13,-0.09,-0.08,0.93,1,0,0.08,0.05,0.09,-0.16,0.05,0.01,0.05,0.25
-0.04,0,-0.04,0.03,0.05,0.02,0.05,0.34,0,1,-0.09,-0.01,-0.06,0.01,0,-0.01,-0.03,0.01
0.03,0.03,0.52,-0.32,-0.1,0.05,-0.19,0.05,0.08,-0.09,1,0,0.56,-0.09,0.02,0.01,0.02,0.03
-0.02,0.13,0.16,0.03,0.08,0.1,0.02,0.05,0.05,-0.01,0,1,0.83,0.11,-0.17,0.2,0.14,0
0,0.12,0.42,-0.16,0.01,0.11,-0.09,0.06,0.09,-0.06,0.56,0.83,1,0.04,-0.13,0.17,0.12,0.02
-0.08,0.63,0.22,0.54,0.43,0.22,0.39,-0.15,-0.16,0.01,-0.09,0.11,0.04,1,0.07,0.08,-0.03,0
0.01,0.08,0.12,0.01,-0.03,0,-0.04,0.04,0.05,0,0.02,-0.17,-0.13,0.07,1,0.02,0.1,0.03
0,0.08,0.05,0.05,0.01,0.01,0.01,0.01,0.01,-0.01,0.01,0.2,0.17,0.08,0.02,1,0.05,0.03
0,-0.14,-0.29,0.05,-0.02,-0.04,0.02,0.03,0.05,-0.03,0.02,0.14,0.12,-0.03,0.1,0.05,1,0.18
0.03,0.06,0.07,0.02,0.03,0.04,0.01,0.23,0.25,0.01,0.03,0,0.02,0,0.03,0.03,0.18,1
