"","date","away_team","points_away","home_team","points_home","attendance","home_win","point_difference","abs_point_dif","season","win_percentage"
"1",2016-10-25,"New York Knicks",88,"Cleveland Cavaliers",117,20562,1,29,29,"2016-17",75.5102040816327
"2",2016-10-25,"Utah Jazz",104,"Portland Trail Blazers",113,19446,1,9,9,"2016-17",58.1395348837209
"3",2016-10-25,"San Antonio Spurs",129,"Golden State Warriors",100,19596,0,-29,29,"2016-17",90
"4",2016-10-26,"Dallas Mavericks",121,"Indiana Pacers",130,17923,1,9,9,"2016-17",67.4418604651163
"5",2016-10-26,"Miami Heat",108,"Orlando Magic",96,19298,0,-12,12,"2016-17",39.0243902439024
"6",2016-10-26,"Detroit Pistons",91,"Toronto Raptors",109,19800,1,18,18,"2016-17",65.2173913043478
"7",2016-10-26,"Brooklyn Nets",117,"Boston Celtics",122,18624,1,5,5,"2016-17",68.6274509803922
"8",2016-10-26,"Charlotte Hornets",107,"Milwaukee Bucks",96,18717,0,-11,11,"2016-17",54.5454545454545
"9",2016-10-26,"Denver Nuggets",107,"New Orleans Pelicans",102,15869,0,-5,5,"2016-17",51.219512195122
"10",2016-10-26,"Minnesota Timberwolves",98,"Memphis Grizzlies",102,18119,1,4,4,"2016-17",59.0909090909091
"11",2016-10-26,"Oklahoma City Thunder",103,"Philadelphia 76ers",97,20487,0,-6,6,"2016-17",41.4634146341463
"12",2016-10-26,"Sacramento Kings",113,"Phoenix Suns",94,18055,0,-19,19,"2016-17",36.5853658536585
"13",2016-10-26,"Houston Rockets",114,"Los Angeles Lakers",120,18997,1,6,6,"2016-17",41.4634146341463
"14",2016-10-27,"Washington Wizards",99,"Atlanta Hawks",114,19049,1,15,15,"2016-17",56.8181818181818
"15",2016-10-27,"Boston Celtics",99,"Chicago Bulls",105,21501,1,6,6,"2016-17",56.8181818181818
"16",2016-10-27,"Los Angeles Clippers",114,"Portland Trail Blazers",106,19500,0,-8,8,"2016-17",58.1395348837209
"17",2016-10-27,"San Antonio Spurs",102,"Sacramento Kings",94,17608,0,-8,8,"2016-17",41.4634146341463
"18",2016-10-28,"Cleveland Cavaliers",94,"Toronto Raptors",91,19800,0,-3,3,"2016-17",65.2173913043478
"19",2016-10-28,"Indiana Pacers",94,"Brooklyn Nets",103,17732,1,9,9,"2016-17",31.7073170731707
"20",2016-10-28,"Orlando Magic",82,"Detroit Pistons",108,19122,1,26,26,"2016-17",58.5365853658537
"21",2016-10-28,"Phoenix Suns",110,"Oklahoma City Thunder",113,18203,1,3,3,"2016-17",67.4418604651163
"22",2016-10-28,"Charlotte Hornets",97,"Miami Heat",91,19600,0,-6,6,"2016-17",56.0975609756098
