"","boxscore_links"
"1","https://www.basketball-reference.com/teams/NYK/2017.html"
"2","https://www.basketball-reference.com/teams/CLE/2017.html"
"3","https://www.basketball-reference.com/boxscores/201610250CLE.html"
"4","https://www.basketball-reference.com/teams/UTA/2017.html"
"5","https://www.basketball-reference.com/teams/POR/2017.html"
"6","https://www.basketball-reference.com/boxscores/201610250POR.html"
"7","https://www.basketball-reference.com/teams/SAS/2017.html"
"8","https://www.basketball-reference.com/teams/GSW/2017.html"
"9","https://www.basketball-reference.com/boxscores/201610250GSW.html"
"10","https://www.basketball-reference.com/teams/DAL/2017.html"
"11","https://www.basketball-reference.com/teams/IND/2017.html"
"12","https://www.basketball-reference.com/boxscores/201610260IND.html"
"13","https://www.basketball-reference.com/teams/MIA/2017.html"
"14","https://www.basketball-reference.com/teams/ORL/2017.html"
"15","https://www.basketball-reference.com/boxscores/201610260ORL.html"
"16","https://www.basketball-reference.com/teams/DET/2017.html"
"17","https://www.basketball-reference.com/teams/TOR/2017.html"
"18","https://www.basketball-reference.com/boxscores/201610260TOR.html"
"19","https://www.basketball-reference.com/teams/BRK/2017.html"
"20","https://www.basketball-reference.com/teams/BOS/2017.html"
"21","https://www.basketball-reference.com/boxscores/201610260BOS.html"
"22","https://www.basketball-reference.com/teams/CHO/2017.html"
"23","https://www.basketball-reference.com/teams/MIL/2017.html"
"24","https://www.basketball-reference.com/boxscores/201610260MIL.html"
"25","https://www.basketball-reference.com/teams/DEN/2017.html"
"26","https://www.basketball-reference.com/teams/NOP/2017.html"
"27","https://www.basketball-reference.com/boxscores/201610260NOP.html"
"28","https://www.basketball-reference.com/teams/MIN/2017.html"
"29","https://www.basketball-reference.com/teams/MEM/2017.html"
"30","https://www.basketball-reference.com/boxscores/201610260MEM.html"
"31","https://www.basketball-reference.com/teams/OKC/2017.html"
"32","https://www.basketball-reference.com/teams/PHI/2017.html"
"33","https://www.basketball-reference.com/boxscores/201610260PHI.html"
"34","https://www.basketball-reference.com/teams/SAC/2017.html"
"35","https://www.basketball-reference.com/teams/PHO/2017.html"
"36","https://www.basketball-reference.com/boxscores/201610260PHO.html"
"37","https://www.basketball-reference.com/teams/HOU/2017.html"
"38","https://www.basketball-reference.com/teams/LAL/2017.html"
"39","https://www.basketball-reference.com/boxscores/201610260LAL.html"
"40","https://www.basketball-reference.com/teams/WAS/2017.html"
"41","https://www.basketball-reference.com/teams/ATL/2017.html"
"42","https://www.basketball-reference.com/boxscores/201610270ATL.html"
"43","https://www.basketball-reference.com/teams/BOS/2017.html"
"44","https://www.basketball-reference.com/teams/CHI/2017.html"
"45","https://www.basketball-reference.com/boxscores/201610270CHI.html"
