"","Date","Start (ET)","Visitor/Neutral","PTS","Home/Neutral","PTS"," "," ","Attend.","Notes"
"1","Tue, Oct 25, 2016","7:30p","New York Knicks","88","Cleveland Cavaliers","117","Box Score","","20,562",""
"2","Tue, Oct 25, 2016","10:00p","Utah Jazz","104","Portland Trail Blazers","113","Box Score","","19,446",""
"3","Tue, Oct 25, 2016","10:30p","San Antonio Spurs","129","Golden State Warriors","100","Box Score","","19,596",""
"4","Wed, Oct 26, 2016","7:00p","Dallas Mavericks","121","Indiana Pacers","130","Box Score","OT","17,923",""
"5","Wed, Oct 26, 2016","7:00p","Miami Heat","108","Orlando Magic","96","Box Score","","19,298",""
"6","Wed, Oct 26, 2016","7:30p","Detroit Pistons","91","Toronto Raptors","109","Box Score","","19,800",""
"7","Wed, Oct 26, 2016","7:30p","Brooklyn Nets","117","Boston Celtics","122","Box Score","","18,624",""
"8","Wed, Oct 26, 2016","8:00p","Charlotte Hornets","107","Milwaukee Bucks","96","Box Score","","18,717",""
"9","Wed, Oct 26, 2016","8:00p","Denver Nuggets","107","New Orleans Pelicans","102","Box Score","","15,869",""
"10","Wed, Oct 26, 2016","8:00p","Minnesota Timberwolves","98","Memphis Grizzlies","102","Box Score","","18,119",""
"11","Wed, Oct 26, 2016","8:00p","Oklahoma City Thunder","103","Philadelphia 76ers","97","Box Score","","20,487",""
"12","Wed, Oct 26, 2016","10:00p","Sacramento Kings","113","Phoenix Suns","94","Box Score","","18,055",""
"13","Wed, Oct 26, 2016","10:30p","Houston Rockets","114","Los Angeles Lakers","120","Box Score","","18,997",""
"14","Thu, Oct 27, 2016","7:30p","Washington Wizards","99","Atlanta Hawks","114","Box Score","","19,049",""
"15","Thu, Oct 27, 2016","8:00p","Boston Celtics","99","Chicago Bulls","105","Box Score","","21,501",""
"16","Thu, Oct 27, 2016","10:30p","Los Angeles Clippers","114","Portland Trail Blazers","106","Box Score","","19,500",""
"17","Thu, Oct 27, 2016","10:30p","San Antonio Spurs","102","Sacramento Kings","94","Box Score","","17,608",""
"18","Fri, Oct 28, 2016","7:00p","Cleveland Cavaliers","94","Toronto Raptors","91","Box Score","","19,800",""
"19","Fri, Oct 28, 2016","7:30p","Indiana Pacers","94","Brooklyn Nets","103","Box Score","","17,732",""
"20","Fri, Oct 28, 2016","7:30p","Orlando Magic","82","Detroit Pistons","108","Box Score","","19,122",""
"21","Fri, Oct 28, 2016","8:00p","Phoenix Suns","110","Oklahoma City Thunder","113","Box Score","OT","18,203",""
"22","Fri, Oct 28, 2016","8:00p","Charlotte Hornets","97","Miami Heat","91","Box Score","","19,600",""
"23","Fri, Oct 28, 2016","8:30p","Houston Rockets","106","Dallas Mavericks","98","Box Score","","20,163",""
"24","Fri, Oct 28, 2016","9:00p","Los Angeles Lakers","89","Utah Jazz","96","Box Score","","19,911",""
