"","mp","fg","fga","fg_pct","fg3","fg3a","fg3_pct","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","plus_minus"
"totals_away","240","32","87",".368","9","27",".333","15","20",".750","13","29","42","17","6","6","18","22","88",""
"totals_away1","240","40","82",".488","8","24",".333","16","16","1.000","6","25","31","19","9","5","11","19","104",""
"totals_away2","240","47","98",".480","12","24",".500","23","26",".885","21","34","55","25","13","3","13","19","129",""
"totals_away3","265","45","104",".433","18","48",".375","13","18",".722","10","39","49","26","8","8","15","27","121",""
"totals_away4","240","47","97",".485","4","16",".250","10","16",".625","16","36","52","27","5","7","10","22","108",""
"totals_away5","240","35","84",".417","4","22",".182","17","22",".773","8","32","40","17","8","0","13","24","91",""
"totals_away6","240","43","97",".443","15","44",".341","16","20",".800","15","29","44","22","8","3","16","19","117",""
"totals_away7","240","40","89",".449","7","23",".304","20","24",".833","11","40","51","27","5","10","10","22","107",""
"totals_away8","240","37","83",".446","8","24",".333","25","33",".758","11","47","58","18","7","4","24","22","107",""
"totals_away9","240","36","86",".419","6","18",".333","20","29",".690","15","30","45","20","6","5","10","23","98",""
"totals_away10","240","39","94",".415","6","22",".273","19","26",".731","13","40","53","19","7","3","10","23","103",""
"totals_away11","240","44","86",".512","6","21",".286","19","26",".731","10","31","41","24","5","5","13","20","113",""
"totals_away12","240","44","86",".512","7","29",".241","19","27",".704","10","29","39","29","10","1","14","23","114",""
"totals_away13","240","40","94",".426","6","20",".300","13","18",".722","12","28","40","25","14","4","19","20","99",""
"totals_away14","240","38","76",".500","8","23",".348","15","24",".625","3","33","36","22","6","6","11","25","99",""
"totals_away15","240","37","91",".407","8","29",".276","32","46",".696","15","33","48","12","10","4","7","25","114",""
"totals_away16","240","36","79",".456","6","18",".333","24","27",".889","9","31","40","23","10","8","9","26","102",""
"totals_away17","240","33","79",".418","12","32",".375","16","22",".727","9","31","40","20","8","3","17","15","94",""
"totals_away18","240","37","98",".378","7","24",".292","13","20",".650","14","35","49","22","7","6","13","22","94",""
"totals_away19","240","33","95",".347","8","26",".308","8","12",".667","14","30","44","20","8","3","9","13","82",""
"totals_away20","265","42","94",".447","5","28",".179","21","32",".656","7","37","44","15","11","3","15","29","110",""
"totals_away21","240","35","92",".380","7","22",".318","20","24",".833","13","36","49","20","10","9","8","20","97",""
"totals_away22","240","33","70",".471","15","32",".469","25","31",".806","5","36","41","21","6","1","18","22","106",""
"totals_away23","240","32","84",".381","9","23",".391","16","21",".762","11","32","43","16","6","7","14","29","89",""
"totals_away24","240","44","91",".484","9","28",".321","25","28",".893","9","40","49","32","8","2","14","22","122",""
"totals_away25","240","42","85",".494","5","20",".250","15","23",".652","6","41","47","31","11","7","12","14","104",""
"totals_away26","240","39","81",".481","15","31",".484","11","17",".647","4","38","42","25","4","6","13","26","104",""
"totals_away27","240","38","84",".452","8","28",".286","15","26",".577","13","37","50","21","6","5","20","23","99",""
"totals_away28","240","37","86",".430","9","25",".360","21","26",".808","11","29","40","19","3","2","12","30","104",""
"totals_away29","240","32","86",".372","4","22",".182","11","15",".733","7","38","45","14","6","5","9","19","79",""
"totals_away30","240","37","84",".440","11","34",".324","23","28",".821","11","34","45","23","12","6","18","22","108",""
"totals_away31","240","43","88",".489","7","18",".389","8","9",".889","8","25","33","34","8","7","13","16","101",""
"totals_away32","265","45","98",".459","10","32",".313","15","21",".714","5","40","45","23","10","8","15","30","115",""
"totals_away33","240","37","70",".529","7","22",".318","22","31",".710","7","29","36","19","6","5","11","25","103",""
"totals_away34","240","29","73",".397","7","19",".368","10","13",".769","7","36","43","18","8","2","18","22","75",""
"totals_away35","240","34","87",".391","4","17",".235","11","14",".786","10","30","40","22","10","4","12","16","83",""
"totals_away36","240","37","82",".451","10","18",".556","22","26",".846","14","30","44","20","4","5","15","26","106",""
"totals_away37","240","35","83",".422","8","29",".276","28","33",".848","7","36","43","27","6","5","15","23","106",""
"totals_away38","240","35","87",".402","7","32",".219","19","24",".792","11","30","41","20","15","2","21","18","96",""
"totals_away39","240","32","86",".372","11","31",".355","17","20",".850","13","30","43","17","8","3","9","17","92",""
"totals_away40","265","38","86",".442","5","25",".200","22","25",".880","8","32","40","19","8","4","14","23","103",""
"totals_away41","240","36","75",".480","10","23",".435","13","19",".684","6","32","38","26","10","6","19","34","95",""
"totals_away42","240","45","89",".506","11","27",".407","17","18",".944","13","45","58","26","9","9","19","22","118",""
"totals_away43","240","33","81",".407","9","22",".409","27","35",".771","11","35","46","14","2","9","8","18","102",""
"totals_away44","240","35","84",".417","5","15",".333","23","31",".742","10","34","44","19","11","0","20","33","98",""
"totals_away45","240","43","90",".478","17","44",".386","17","25",".680","11","21","32","30","5","2","7","25","120",""
"totals_away46","240","40","89",".449","6","28",".214","22","25",".880","11","33","44","14","8","2","19","25","108",""
"totals_away47","240","42","93",".452","6","25",".240","13","17",".765","12","27","39","29","7","6","10","15","103",""
"totals_away48","240","35","86",".407","7","22",".318","12","15",".800","8","35","43","18","6","9","11","20","89",""
"totals_away49","265","34","89",".382","5","23",".217","23","27",".852","9","44","53","12","4","4","15","23","96",""
"totals_away50","240","27","75",".360","4","24",".167","22","29",".759","8","24","32","10","17","4","20","22","80",""
"totals_away51","240","44","91",".484","10","32",".313","19","21",".905","11","38","49","30","9","5","15","25","117",""
"totals_away52","240","38","76",".500","15","31",".484","15","18",".833","2","37","39","22","5","8","10","20","106",""
"totals_away53","240","50","89",".562","10","26",".385","17","23",".739","7","38","45","36","14","4","16","19","127",""
"totals_away54","240","34","86",".395","12","38",".316","13","15",".867","8","29","37","23","8","2","17","24","93",""
"totals_away55","240","43","77",".558","10","25",".400","17","25",".680","4","27","31","21","16","2","13","24","113",""
"totals_away56","240","48","90",".533","9","22",".409","18","20",".900","11","31","42","24","11","9","15","25","123",""
"totals_away57","240","37","88",".420","9","25",".360","18","21",".857","10","28","38","21","11","6","13","18","101",""
"totals_away58","240","42","89",".472","15","40",".375","19","27",".704","19","35","54","25","12","8","19","21","118",""
"totals_away59","240","35","81",".432","7","20",".350","23","31",".742","15","34","49","21","7","7","19","19","100",""
"totals_away60","265","30","81",".370","11","34",".324","12","16",".750","5","38","43","17","8","9","21","26","83",""
"totals_away61","240","33","77",".429","7","26",".269","8","10",".800","6","30","36","18","4","4","12","20","81",""
"totals_away62","265","42","101",".416","12","33",".364","19","21",".905","10","43","53","25","8","8","14","23","115",""
