"","mp","fg","fga","fg_pct","fg3","fg3a","fg3_pct","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","plus_minus"
"totals_home","240","45","94",".479","13","35",".371","14","19",".737","11","40","51","31","12","5","14","22","117",""
"totals_home1","240","39","75",".520","13","19",".684","22","22","1.000","5","29","34","22","5","3","12","18","113",""
"totals_home2","240","40","85",".471","7","33",".212","13","18",".722","8","27","35","24","11","6","16","19","100",""
"totals_home3","265","47","93",".505","10","19",".526","26","34",".765","8","44","52","30","11","6","16","23","130",""
"totals_home4","240","34","89",".382","6","18",".333","22","28",".786","15","30","45","20","5","4","11","15","96",""
"totals_home5","240","41","86",".477","3","18",".167","24","29",".828","14","37","51","17","8","0","11","22","109",""
"totals_home6","240","48","89",".539","11","32",".344","15","18",".833","12","35","47","36","13","9","19","20","122",""
"totals_home7","240","39","92",".424","3","16",".188","15","20",".750","10","36","46","23","4","5","8","22","96",""
"totals_home8","240","38","92",".413","3","19",".158","23","26",".885","5","28","33","31","16","5","11","29","102",""
"totals_home9","240","36","80",".450","11","24",".458","19","27",".704","11","34","45","19","6","11","13","25","102",""
"totals_home10","240","36","84",".429","7","24",".292","18","25",".720","5","38","43","21","5","10","13","22","97",""
"totals_home11","240","36","77",".468","4","16",".250","18","27",".667","10","31","41","20","6","3","18","29","94",""
"totals_home12","240","45","89",".506","12","35",".343","18","22",".818","11","28","39","21","10","4","15","24","120",""
"totals_home13","240","44","88",".500","12","26",".462","14","18",".778","14","38","52","28","13","7","21","19","114",""
"totals_home14","240","36","92",".391","11","25",".440","22","30",".733","18","37","55","25","5","1","12","21","105",""
"totals_home15","240","39","85",".459","4","18",".222","24","32",".750","9","39","48","18","4","4","14","34","106",""
"totals_home16","240","28","70",".400","6","20",".300","32","38",".842","6","34","40","22","7","0","15","21","94",""
"totals_home17","240","35","90",".389","4","16",".250","17","18",".944","18","33","51","12","9","3","18","20","91",""
"totals_home18","240","38","87",".437","10","33",".303","17","20",".850","12","40","52","20","6","4","16","23","103",""
"totals_home19","240","48","95",".505","7","19",".368","5","6",".833","9","44","53","27","8","4","12","11","108",""
"totals_home20","265","40","96",".417","5","21",".238","28","38",".737","14","43","57","13","11","3","22","24","113",""
"totals_home21","240","32","86",".372","14","34",".412","13","20",".650","11","41","52","19","2","4","19","23","91",""
"totals_home22","240","35","80",".438","8","29",".276","20","24",".833","6","28","34","13","11","2","9","21","98",""
"totals_home23","240","31","75",".413","6","25",".240","28","40",".700","13","34","47","14","4","7","14","18","96",""
"totals_home24","240","47","100",".470","5","22",".227","15","23",".652","12","37","49","29","8","5","13","24","114",""
"totals_home25","240","28","80",".350","5","18",".278","11","15",".733","4","35","39","16","9","5","20","20","72",""
"totals_home26","240","32","79",".405","9","32",".281","25","33",".758","6","32","38","22","8","6","8","17","98",""
"totals_home27","240","36","88",".409","11","37",".297","22","30",".733","13","27","40","17","8","6","9","27","105",""
"totals_home28","240","40","76",".526","6","21",".286","25","39",".641","6","35","41","24","4","4","12","25","111",""
"totals_home29","240","35","83",".422","10","24",".417","18","23",".783","6","44","50","21","6","7","9","15","98",""
"totals_home30","240","41","88",".466","8","22",".364","20","24",".833","8","36","44","25","14","5","14","23","110",""
"totals_home31","240","45","86",".523","9","21",".429","19","21",".905","13","34","47","34","8","6","12","14","118",""
"totals_home32","265","38","100",".380","6","23",".261","31","39",".795","16","45","61","19","10","5","17","21","113",""
"totals_home33","240","39","85",".459","9","26",".346","19","25",".760","11","20","31","24","6","5","13","24","106",""
"totals_home34","240","34","83",".410","6","27",".222","14","20",".700","14","35","49","17","8","4","13","14","88",""
"totals_home35","240","39","88",".443","5","20",".250","15","20",".750","16","42","58","23","8","4","15","14","98",""
"totals_home36","240","37","80",".463","7","20",".350","18","26",".692","6","30","36","19","7","6","12","24","99",""
"totals_home37","240","37","90",".411","8","23",".348","18","25",".720","11","39","50","19","10","6","11","26","100",""
"totals_home38","240","45","95",".474","9","26",".346","14","17",".824","10","35","45","29","15","6","19","22","113",""
"totals_home39","240","34","81",".420","11","31",".355","14","21",".667","9","38","47","16","5","4","17","21","93",""
"totals_home40","265","39","88",".443","15","31",".484","19","26",".731","11","36","47","24","9","2","14","26","112",""
"totals_home41","240","33","79",".418","11","30",".367","29","47",".617","17","26","43","24","11","6","13","20","106",""
"totals_home42","240","33","96",".344","5","31",".161","17","21",".810","16","29","45","14","12","3","15","15","88",""
"totals_home43","240","41","88",".466","4","16",".250","19","25",".760","11","32","43","16","7","9","7","28","105",""
"totals_home44","240","40","80",".500","6","16",".375","30","38",".789","5","39","44","21","8","4","16","23","116",""
"totals_home45","240","43","83",".518","16","32",".500","26","31",".839","12","34","46","22","4","2","11","21","128",""
"totals_home46","240","41","87",".471","10","28",".357","23","29",".793","11","32","43","19","10","8","15","20","115",""
"totals_home47","240","40","81",".494","9","20",".450","12","16",".750","7","35","42","28","5","8","15","20","101",""
"totals_home48","240","41","89",".461","8","13",".615","12","21",".571","10","38","48","19","7","5","10","16","102",""
"totals_home49","265","37","86",".430","13","29",".448","21","29",".724","6","39","45","24","10","9","15","21","108",""
"totals_home50","240","43","78",".551","12","20",".600","18","23",".783","10","40","50","29","10","5","21","22","116",""
"totals_home51","240","36","82",".439","9","26",".346","32","41",".780","9","33","42","23","13","5","13","17","113",""
"totals_home52","240","33","76",".434","6","20",".300","19","21",".905","4","30","34","19","6","5","9","15","91",""
"totals_home53","240","37","86",".430","14","39",".359","16","21",".762","6","26","32","23","12","4","18","17","104",""
"totals_home54","240","39","79",".494","13","34",".382","18","26",".692","9","35","44","25","8","3","15","17","109",""
"totals_home55","240","42","72",".583","3","10",".300","16","24",".667","6","30","36","21","8","5","20","20","103",""
"totals_home56","240","41","85",".482","11","32",".344","23","29",".793","10","27","37","30","10","1","18","19","116",""
"totals_home57","240","41","76",".539","13","27",".481","14","17",".824","5","40","45","27","10","3","19","23","109",""
"totals_home58","240","37","85",".435","8","20",".400","17","25",".680","7","27","34","18","10","6","16","22","99",""
"totals_home59","240","41","87",".471","14","32",".438","11","17",".647","10","29","39","28","10","4","12","24","107",""
"totals_home60","265","33","94",".351","8","27",".296","15","20",".750","13","39","52","20","12","5","17","22","89",""
"totals_home61","240","35","77",".455","12","25",".480","15","26",".577","7","34","41","18","6","3","12","21","97",""
"totals_home62","265","44","103",".427","5","16",".313","25","30",".833","14","45","59","15","10","5","12","20","118",""
"totals_home63","240","34","87",".391","7","22",".318","8","18",".444","8","33","41","22","13","5","17","19","83",""
"totals_home64","240","38","84",".452","10","30",".333","16","23",".696","13","31","44","24","5","4","14","14","102",""
"totals_home65","240","41","84",".488","14","34",".412","32","37",".865","7","35","42","24","6","6","8","19","128",""
"totals_home66","240","47","82",".573","12","27",".444","19","24",".792","12","29","41","32","10","6","21","23","125",""
"totals_home67","240","35","88",".398","9","22",".409","20","25",".800","14","29","43","20","8","4","16","22","99",""
"totals_home68","240","46","89",".517","14","30",".467","16","20",".800","15","31","46","27","9","14","15","18","122",""
"totals_home69","240","31","80",".388","5","20",".250","28","35",".800","11","35","46","13","7","3","19","23","95",""
"totals_home70","240","35","87",".402","9","36",".250","16","21",".762","7","39","46","20","12","4","15","22","95",""
"totals_home71","240","37","84",".440","6","25",".240","16","18",".889","13","37","50","14","7","5","15","16","96",""
"totals_home72","240","37","84",".440","8","23",".348","22","27",".815","15","27","42","15","4","4","12","16","104",""
"totals_home73","240","31","84",".369","9","26",".346","17","22",".773","13","35","48","26","4","9","18","28","88",""
"totals_home74","265","43","94",".457","10","30",".333","15","28",".536","6","37","43","28","7","13","8","21","111",""
"totals_home75","240","34","83",".410","10","28",".357","17","20",".850","7","37","44","18","5","3","12","21","95",""
"totals_home76","240","30","80",".375","11","26",".423","15","24",".625","9","33","42","15","7","4","12","19","86",""
"totals_home77","240","45","95",".474","8","30",".267","19","21",".905","16","35","51","26","9","5","16","19","117",""
"totals_home78","240","45","86",".523","7","16",".438","15","24",".625","11","30","41","24","9","9","12","21","112",""
"totals_home79","240","40","84",".476","7","20",".350","16","22",".727","9","38","47","22","9","9","13","16","103",""
"totals_home80","240","46","86",".535","12","26",".462","7","12",".583","8","28","36","27","8","9","11","20","111",""
"totals_home81","240","31","78",".397","9","28",".321","17","27",".630","10","33","43","21","4","6","8","16","88",""
"totals_home82","240","40","87",".460","14","38",".368","7","12",".583","5","40","45","21","9","9","17","23","101",""
"totals_home83","240","45","85",".529","8","20",".400","14","24",".583","13","31","44","29","17","6","19","13","112",""
"totals_home84","240","41","82",".500","14","33",".424","21","25",".840","17","36","53","28","12","10","15","22","117",""
"totals_home85","240","30","74",".405","10","25",".400","22","25",".880","7","33","40","19","5","5","15","18","92",""
"totals_home86","240","42","83",".506","8","20",".400","17","19",".895","10","29","39","18","8","5","12","26","109",""
"totals_home87","240","31","81",".383","6","26",".231","26","32",".813","12","32","44","15","9","5","13","20","94",""
"totals_home88","240","30","84",".357","7","30",".233","24","31",".774","13","30","43","22","6","5","6","26","91",""
"totals_home89","265","33","88",".375","9","38",".237","11","12",".917","10","36","46","14","12","2","15","20","86",""
"totals_home90","240","41","90",".456","8","25",".320","17","21",".810","11","28","39","31","3","4","11","24","107",""
"totals_home91","240","41","90",".456","10","23",".435","27","35",".771","15","38","53","22","8","5","19","22","119",""
"totals_home92","240","41","84",".488","12","32",".375","28","32",".875","3","40","43","30","12","4","11","15","122",""
"totals_home93","240","31","77",".403","7","21",".333","15","22",".682","9","33","42","16","5","2","18","19","84",""
"totals_home94","240","39","94",".415","10","27",".370","18","20",".900","16","29","45","20","12","5","13","16","106",""
"totals_home95","240","42","89",".472","3","19",".158","25","31",".806","15","41","56","26","7","4","8","11","112",""
"totals_home96","240","37","85",".435","9","28",".321","14","17",".824","10","37","47","24","8","5","16","18","97",""
"totals_home97","240","45","90",".500","16","35",".457","10","12",".833","10","28","38","35","14","4","15","17","116",""
"totals_home98","240","41","76",".539","13","25",".520","19","22",".864","2","44","46","28","8","7","10","20","114",""
"totals_home99","240","37","99",".374","11","42",".262","21","25",".840","13","26","39","21","12","1","6","20","106",""
"totals_home100","240","42","76",".553","12","33",".364","23","26",".885","5","38","43","20","5","5","20","19","119",""
"totals_home101","240","44","86",".512","7","24",".292","13","19",".684","8","24","32","29","14","5","14","30","108",""
"totals_home102","240","45","81",".556","14","31",".452","20","28",".714","7","28","35","22","5","4","20","27","124",""
"totals_home103","240","38","78",".487","10","26",".385","11","14",".786","8","29","37","20","6","1","16","19","97",""
"totals_home104","240","39","81",".481","8","25",".320","16","20",".800","5","34","39","24","7","5","10","21","102",""
"totals_home105","240","38","82",".463","8","26",".308","20","29",".690","5","32","37","24","8","3","8","19","104",""
"totals_home106","265","49","90",".544","9","19",".474","15","20",".750","7","36","43","25","9","6","16","17","122",""
"totals_home107","240","44","92",".478","10","30",".333","12","17",".706","9","41","50","25","11","5","14","21","110",""
"totals_home108","240","38","85",".447","8","24",".333","23","30",".767","12","27","39","20","2","5","9","19","107",""
"totals_home109","240","46","92",".500","10","21",".476","16","20",".800","19","35","54","29","9","7","11","26","118",""
"totals_home110","240","42","83",".506","9","20",".450","22","27",".815","13","35","48","24","8","7","21","20","115",""
"totals_home111","240","31","74",".419","12","34",".353","28","31",".903","11","28","39","18","6","5","19","21","102",""
"totals_home112","240","38","84",".452","8","22",".364","23","30",".767","10","39","49","20","7","6","17","20","107",""
"totals_home113","240","33","84",".393","7","23",".304","26","30",".867","10","29","39","22","14","5","10","15","99",""
"totals_home114","240","43","74",".581","17","33",".515","13","22",".591","5","34","39","33","3","5","15","22","116",""
"totals_home115","240","38","87",".437","11","32",".344","24","33",".727","14","41","55","24","9","7","7","15","111",""
"totals_home116","240","36","88",".409","13","29",".448","10","15",".667","14","32","46","22","8","5","13","19","95",""
"totals_home117","240","40","91",".440","6","18",".333","20","25",".800","11","37","48","23","4","5","11","20","106",""
"totals_home118","240","38","94",".404","13","36",".361","12","17",".706","17","27","44","26","7","3","18","18","101",""
"totals_home119","240","34","85",".400","8","21",".381","15","20",".750","11","32","43","18","13","3","15","19","91",""
"totals_home120","240","38","93",".409","17","41",".415","18","24",".750","18","39","57","22","1","4","11","16","111",""
"totals_home121","240","26","78",".333","8","20",".400","14","19",".737","8","35","43","13","11","6","12","18","74",""
"totals_home122","265","36","86",".419","11","32",".344","26","31",".839","13","41","54","24","7","6","19","21","109",""
"totals_home123","240","38","87",".437","3","15",".200","15","19",".789","10","36","46","16","7","5","15","21","94",""
"totals_home124","240","35","90",".389","11","27",".407","34","43",".791","19","34","53","23","16","3","15","18","115",""
"totals_home125","240","38","88",".432","16","28",".571","16","19",".842","9","36","45","21","3","1","16","27","108",""
"totals_home126","240","36","81",".444","9","20",".450","15","19",".789","10","35","45","24","8","2","8","13","96",""
"totals_home127","265","45","86",".523","13","33",".394","19","27",".704","7","29","36","29","8","4","11","24","122",""
"totals_home128","240","36","86",".419","6","27",".222","21","28",".750","11","29","40","17","9","9","13","22","99",""
"totals_home129","240","39","90",".433","6","20",".300","15","19",".789","12","30","42","20","4","5","10","10","99",""
